nb_sent	word	tag	stems
28	['сексуальнее', 'трейсер', 'вдоводел']	['Aspect', 'Object1', 'Object2']	['сексуальн', 'трейсер', 'вдоводел']
29	['велосипед', 'royal', 'enfield', 'classic', '350', 'bullet', '350']	['CommonObj', 'Object1', 'Object1', 'Object1', 'Object1', 'Object2', 'Object2']	['велосипед', 'royal', 'enfield', 'classic', '350', 'bullet', '350']
30	['чемодан', 'жесткий', 'мягкий']	['CommonObj', 'Object1', 'Object2']	['чемодан', 'жестк', 'мягк']
31	['core', 'i5', '4440', 'core', 'i5', '3470']	['Object1', 'Object1', 'Object1', 'Object2', 'Object2', 'Object2']	['core', 'i5', '4440', 'core', 'i5', '3470']
32	['samsung', 'galaxy', 's7', 'edge', 'iphone', '6s']	['Object1', 'Object1', 'Object1', 'Object1', 'Object2', 'Object2']	['samsung', 'galaxy', 's7', 'edge', 'iphone', '6s']
33	['поток', 'биомедицинский', 'биотехнологический']	['CommonObj', 'Object1', 'Object2']	['поток', 'биомедицинск', 'биотехнологическ']
34	['пепси', 'кока-кола']	['Object1', 'Object2']	['пепси', 'кока-кол']
35	['информатика', 'компьютерная', 'инженерия']	['Object1', 'Object2', 'Object2']	['информатик', 'компьютерн', 'инженер']
36	['причиной', 'Третьей', 'мировой', 'войны', 'Трамп', 'Клинтон']	['Aspect', 'Aspect', 'Aspect', 'Aspect', 'Object1', 'Object2']	['причин', 'трет', 'миров', 'войн', 'трамп', 'клинтон']
37	['сварки', 'mig', 'tig']	['Aspect', 'Object1', 'Object2']	['сварк', 'mig', 'tig']
39	['сервер', 'ubersvn', 'visualsvn']	['CommonObj', 'Object1', 'Object2']	['сервер', 'ubersvn', 'visualsvn']
40	['стальные', 'керамические', 'ножи']	['Object1', 'Object2', 'CommonObj']	['стальн', 'керамическ', 'нож']
41	['xm', 'radio', 'sirus', 'radio']	['Object1', 'Object1', 'Object2', 'Object2']	['xm', 'radio', 'sirus', 'radio']
42	['собаки', 'людей']	['Object1', 'Object2']	['собак', 'люд']
43	['лампочка', 'накаливания', 'люминесцентная']	['CommonObj', 'Object1', 'Object2']	['лампочк', 'накаливан', 'люминесцентн']
44	['колумбийский', 'университет', 'Дартмут']	['Object1', 'Object1', 'Object2']	['колумбийск', 'университет', 'дартмут']
45	['кантонском', 'мандаринском', 'диалекте', 'за', 'пределами', 'Китая']	['Object1', 'Object2', 'CommonObj', 'Aspect', 'Aspect', 'Aspect']	['кантонск', 'мандаринск', 'диалект', 'за', 'пределами', 'китая']
47	['игр', 'mac', 'Windows']	['Aspect', 'Object1', 'Object2']	['игр', 'mac', 'Windows']
48	['популярная', 'проприетарная', 'программа', 'малоизвестная', 'замена', 'воспроизводимого', 'исследования', 'с', 'открытым', 'исходным', 'кодом']	['Object1', 'Object1', 'Object1', 'CommonObj', 'Object2', 'Object2', 'Object2', 'Object2', 'Object2', 'Object2', 'Object2']	['популярн', 'проприетарн', 'программ', 'малоизвестн', 'зам', 'воспроизводим', 'исследован', 'с', 'открыт', 'исходн', 'код']
49	['могущественный', 'волшебник', 'Дамблдор', 'Волдеморт']	['Aspect', 'Aspect', 'Object1', 'Object2']	['могуществен', 'волшебник', 'дамблдор', 'волдеморт']
52	['производительности', 'микроядра', 'монолитным', 'ядром']	['Aspect', 'Object1', 'Object2', 'Object2']	['производительн', 'микроядр', 'монолитн', 'ядр']
53	['поездом', 'самолетом', 'риск', 'выпадения', 'снега']	['Object1', 'Object2', 'Aspect', 'Aspect', 'Aspect']	['поезд', 'самолет', 'риск', 'выпаден', 'снег']
54	['велосипед', 'случайных', 'длительных', 'поездок', 'по', 'улице', '220', 'royal', 'enfield']	['CommonObj', 'Aspect', 'Aspect', 'Aspect', 'Aspect', 'Aspect', 'Object1', 'Object2', 'Object2']	['велосипед', 'случайн', 'длительн', 'поездок', 'по', 'улице', '220', 'royal', 'enfield']
55	['Хиллари', 'Клинтон', 'Дональда', 'Трампа']	['Object1', 'Object1', 'Object2', 'Object2']	['хиллари', 'клинтон', 'дональд', 'трамп']
57	['sony', 'ps4', 'microsoft', 'xbox', 'one']	['Object1', 'Object1', 'Object2', 'Object2', 'Object2']	['sony', 'ps4', 'microsoft', 'xbox', 'one']
58	['величайший', 'классический', 'трагик', 'Расин', 'Корнель']	['Aspect', 'CommonObj', 'CommonObj', 'Object1', 'Object2']	['величайш', 'классическ', 'трагик', 'расин', 'корнел']
60	['упражнение', 'с', 'большим', 'весом', 'и', 'меньшим', 'количеством', 'повторений', 'с', 'меньшим', 'весом', 'и', 'большим', 'количеством', 'повторений', 'рост', 'мышц']	['CommonObj', 'Object1', 'Object1', 'Object1', 'Object1', 'Object1', 'Object1', 'Object1', 'Object2', 'Object2', 'Object2', 'Object2', 'Object2', 'Object2', 'Object2', 'Aspect', 'Aspect']	['упражнен', 'с', 'больш', 'вес', 'и', 'меньш', 'количеств', 'повторен', 'с', 'меньш', 'вес', 'и', 'больш', 'количеств', 'повторен', 'рост', 'мышц']
62	['macbook', 'pro', '2016', 'macbook', 'pro', '2015']	['Object1', 'Object1', 'Object1', 'Object2', 'Object2', 'Object2']	['macbook', 'pro', '2016', 'macbook', 'pro', '2015']
63	['holiday', 'inn', 'white', 'christmas']	['Object1', 'Object1', 'Object2', 'Object2']	['holiday', 'inn', 'white', 'christmas']
65	['окружающей', 'среды', 'настоящая', 'искусственная', 'елка']	['Aspect', 'Aspect', 'Object1', 'Object2', 'CommonObj']	['окружающ', 'сред', 'настоя', 'искусствен', 'елк']
66	['коммунистическая', 'страна', 'демократической']	['Object1', 'CommonObj', 'Object2']	['коммунистическ', 'стран', 'демократическ']
67	['Собаки', 'людей']	['Object1', 'Object2']	['собак', 'люд']
70	['обзоры', 'книг', 'на', 'goodreads', 'обзорами', 'книг', 'на', 'Amazon']	['Object1', 'Object1', 'Object1', 'Object1', 'Object2', 'Object2', 'Object2', 'Object2']	['обзор', 'книг', 'на', 'goodreads', 'обзор', 'книг', 'на', 'Amazon']
71	['лучшим', 'президентом', 'Дональд', 'Трамп', 'Хиллари', 'Клинтон']	['Aspect', 'Aspect', 'Object1', 'Object1', 'Object2', 'Object2']	['лучш', 'президент', 'дональд', 'трамп', 'хиллар', 'клинтон']
73	['болях', 'в', 'спине', 'хиропрактика', 'физиотерапия']	['Aspect', 'Aspect', 'Aspect', 'Object1', 'Object2']	['бол', 'в', 'спин', 'хиропрактик', 'физиотерап']
76	['работать', 'США', 'Кувейте']	['Aspect', 'Object1', 'Object2']	['работ', 'сша', 'кувейт']
77	['Гватемалу', 'Никарагуа', 'подводным', 'плаванием']	['Object1', 'Object2', 'Aspect', 'Aspect']	['гватемалу', 'никарагуа', 'подводн', 'плаван']
78	['i3', '4-го', 'поколения', '6-го', 'поколения']	['CommonObj', 'Object1', 'Object1', 'Object2', 'Object2']	['i3', '4-го', 'поколен', '6-го', 'поколен']
80	['степень', 'mba', 'инженером-программистом']	['Object1', 'Object1', 'Object2']	['степен', 'mba', 'инженером-программист']
81	['Езда', 'на', 'велосипеде', 'Финиксе', 'Скоттсдейле']	['Aspect', 'Aspect', 'Aspect', 'Object1', 'Object2']	['езд', 'на', 'велосипед', 'финикс', 'скоттсдейл']
82	['приспособлены', 'экстремальной', 'жаре', 'экстремальному', 'холоду']	['Aspect', 'Object1', 'Object1', 'Object2', 'Object2']	['приспособл', 'экстремальн', 'жар', 'экстремальн', 'холод']
84	['тренироваться', 'утром', 'вечером']	['Aspect', 'Object1', 'Object2']	['тренирова', 'утр', 'вечер']
85	['экономика', 'Соединенных', 'Штатов', 'экономикой', 'Испании']	['Object1', 'Object1', 'Object1', 'Object2', 'Object2']	['экономик', 'соединен', 'штат', 'экономик', 'испан']
86	['Дамблдором', 'Ричард', 'Харрис', 'Рип', 'Майкл', 'Гэмбон']	['Aspect', 'Object1', 'Object1', 'Object1', 'Object2', 'Object2']	['дамблдор', 'ричард', 'харрис', 'рип', 'майкл', 'гэмбон']
87	['пистолет', 'м16', 'insas']	['Aspect', 'Object1', 'Object2']	['пистолет', 'м16', 'insas']
88	['собственный', 'дом', 'Индии', 'покупкой', 'готового', 'дома']	['Object1', 'Object1', 'CommonObj', 'Object2', 'Object2', 'Object2']	['собствен', 'дом', 'инди', 'покупк', 'готов', 'дом']
89	['BMW', 'Audi']	['Object1', 'Object2']	['BMW', 'Audi']
92	['мульчи', 'в', 'мешках', 'городской', 'мульчей']	['Object1', 'Object1', 'Object1', 'Object2', 'Object2']	['мульч', 'в', 'мешк', 'городск', 'мульч']
94	['граница', 'логарифмическая', 'многочленная', 'со', 'сколь', 'угодно', 'малой', 'степенью']	['CommonObj', 'Object1', 'Object2', 'Object2', 'Object2', 'Object2', 'Object2', 'Object2']	['границ', 'логарифмическ', 'многочлен', 'со', 'скол', 'угодн', 'мал', 'степен']
95	['режим', 'xp', 'в', 'Windows', '7', 'обычная', 'виртуальная', 'машина']	['Object1', 'Object1', 'Object1', 'Object1', 'Object1', 'Object2', 'Object2', 'Object2']	['реж', 'xp', 'в', 'Windows', '7', 'обычн', 'виртуальн', 'машин']
98	['баскетбол', 'футбола']	['Object1', 'Object2']	['баскетбол', 'футбол']
99	['приседания', 'хруст']	['Object1', 'Object2']	['приседан', 'хруст']
101	['cs', 'iit', 'guwahati', 'iit', 'roorkee']	['Aspect', 'Object1', 'Object1', 'Object2', 'Object2']	['cs', 'iit', 'guwahati', 'iit', 'roorkee']
102	['инвестировать', 'сельское', 'хозяйство', 'оборону']	['Aspect', 'Object1', 'Object1', 'Object2']	['инвестирова', 'сельск', 'хозяйств', 'оборон']
104	['iriver', 'h10', 'музыкальный', 'автомат', 'philips', 'gogear']	['Object1', 'Object1', 'Object2', 'Object2', 'Object2', 'Object2']	['iriver', 'h10', 'музыкальн', 'автомат', 'philips', 'gogear']
105	['блог', 'английском', 'испанском', 'языках']	['Aspect', 'Object1', 'Object2', 'CommonObj']	['блог', 'английск', 'испанск', 'язык']
109	['Искусственные', 'подсластители', 'белого', 'сахара']	['Object1', 'Object1', 'Object2', 'Object2']	['искусствен', 'подсластител', 'бел', 'сахар']
110	['фруктовых', 'деревьев', 'одно', 'многопривитое', 'дерево', 'несколько', 'деревьев', 'в', 'одну', 'лунку']	['Aspect', 'Aspect', 'Object1', 'Object1', 'Object1', 'Object2', 'Object2', 'Object2', 'Object2', 'Object2']	['фруктов', 'дерев', 'одн', 'многопривит', 'дерев', 'нескольк', 'дерев', 'в', 'одн', 'лунк']
111	['moto', 'g4', 'plus', 'xiaomi', 'mi', 'max']	['Object1', 'Object1', 'Object1', 'Object2', 'Object2', 'Object2']	['moto', 'g4', 'plus', 'xiaomi', 'mi', 'max']
114	['городская', 'жизнь', 'Индии', 'Непалом']	['Aspect', 'Aspect', 'Object1', 'Object2']	['городск', 'жизн', 'инди', 'непал']
115	['кофеина', 'кофе', 'чае']	['Aspect', 'Object1', 'Object2']	['кофеин', 'коф', 'ча']
116	['поступить', 'в', 'медицинскую', 'школу', 'США', 'Великобритании']	['Aspect', 'Aspect', 'Aspect', 'Aspect', 'Object1', 'Object2']	['поступ', 'в', 'медицинск', 'школ', 'сша', 'великобритан']
118	['умен', 'Стив', 'Джобс', 'Марком', 'Цукербергом']	['Aspect', 'Object1', 'Object1', 'Object2', 'Object2']	['ум', 'стив', 'джобс', 'марк', 'цукерберг']
119	['skd', 'aakash']	['Object1', 'Object2']	['skd', 'aakash']
120	['торговля', 'лезвиями', 'Вермонте', 'Аризоной']	['Aspect', 'Aspect', 'Object1', 'Object2']	['торговл', 'лезв', 'вермонт', 'аризон']
121	['соотношения', 'цены', 'и', 'качества', 'седан', 'c240', 'купе', 'c230']	['Aspect', 'Aspect', 'Aspect', 'Aspect', 'Object1', 'Object1', 'Object2', 'Object2']	['соотношен', 'цен', 'и', 'качеств', 'седан', 'c240', 'купе', 'c230']
122	['червячное', 'литье', 'чай', 'для', 'червячного', 'литья']	['Object1', 'Object1', 'Object2', 'Object2', 'Object2', 'Object2']	['червячн', 'лить', 'ча', 'для', 'червячн', 'лить']
123	['интереснее', 'информатика', 'вычислительная', 'техника']	['Aspect', 'Object1', 'Object2', 'Object2']	['интересн', 'информатик', 'вычислительн', 'техник']
124	['Python', 'R', 'анализа', 'данных']	['Object1', 'Object2', 'Aspect', 'Aspect']	['Python', 'R', 'анализ', 'данны']
127	['консервативный', 'иудаизм', 'современный', 'ортодоксальный', 'иудаизм']	['Object1', 'Object1', 'Object2', 'Object2', 'Object2']	['консервативн', 'иудаизм', 'современ', 'ортодоксальн', 'иудаизм']
130	['черный', 'перец', 'белым', 'перцем']	['Object1', 'Object1', 'Object2', 'Object2']	['черн', 'перец', 'бел', 'перц']
131	['снижает', 'температуру', 'у', 'детей', 'ибупрофен', 'аспирин']	['Aspect', 'Aspect', 'Aspect', 'Aspect', 'Object1', 'Object2']	['снижа', 'температур', 'у', 'детей', 'ибупрофен', 'аспирин']
132	['волос', 'шампунь', 'шампунь', 'с', 'кондиционером']	['Aspect', 'Object1', 'Object2', 'Object2', 'Object2']	['волос', 'шампун', 'шампун', 'с', 'кондиционер']
134	['варке', 'колбасы', 'температура', 'влажность']	['Aspect', 'Aspect', 'Object1', 'Object2']	['варк', 'колбас', 'температур', 'влажност']
135	['слепо', 'соответствовать', 'требованиям', 'проекта', 'соответствовать', 'духу', 'требований', 'проекта']	['Object1', 'Object1', 'Object1', 'Object1', 'Object2', 'Object2', 'Object2', 'Object2']	['слеп', 'соответствова', 'требован', 'проект', 'соответствова', 'дух', 'требован', 'проект']
136	['ключей', 'gpg', 'rsa', 'dsa']	['Aspect', 'CommonObj', 'Object1', 'Object2']	['ключ', 'gpg', 'rsa', 'dsa']
138	['Паста', 'полезнее', 'пиццы']	['Object1', 'Aspect', 'Object2']	['паст', 'полезн', 'пицц']
139	['ASP', 'PHP']	['Object1', 'Object2']	['ASP', 'PHP']
142	['проще', 'pte', 'ielts']	['Aspect', 'Object1', 'Object2']	['прощ', 'pte', 'ielts']
145	['Хиллари', 'Клинтон', 'Трампа']	['Object1', 'Object1', 'Object2']	['хиллар', 'клинтон', 'трамп']
146	['windows', 'linux']	['Object1', 'Object2']	['windows', 'linux']
147	['Газовая', 'угольная', 'решетка']	['Object1', 'Object2', 'CommonObj']	['газов', 'угольн', 'решетк']
148	['intel', 'i5', '6-го', 'поколения', 'i7', '5-го', 'поколения']	['CommonObj', 'Object1', 'Object1', 'Object1', 'Object2', 'Object2', 'Object2']	['intel', 'i5', '6-го', 'поколения', 'i7', '5-го', 'поколения']
149	['IELTS', 'TOEFL']	['Object1', 'Object2']	['IELTS', 'TOEFL']
152	['двухъядерный', 'четырехъядерный', 'процессор']	['Object1', 'Object2', 'CommonObj']	['двухъядерн', 'четырехъядерн', 'процессор']
153	['проще', 'сделать', 'лавовую', 'лампу', 'слайм']	['Aspect', 'Aspect', 'Object1', 'Object1', 'Object2']	['прощ', 'сдела', 'лавов', 'ламп', 'слайм']
156	['разрабатывать', 'приложения', 'технологию', ',', 'специфичную', 'для', 'конкретной', 'платформы', 'веб-технологии']	['Aspect', 'Aspect', 'Object1', 'Object1', 'Object1', 'Object1', 'Object1', 'Object1', 'Object2']	['разрабатыва', 'приложен', 'технолог', 'специфичн', 'для', 'конкретн', 'платформ', 'веб-технолог']
157	['нержавеющей', 'стали', 'ss304', 'sus304']	['CommonObj', 'CommonObj', 'Object1', 'Object2']	['нержавеющ', 'стал', 'ss304', 'sus304']
159	['ps4', 'xbox', 'one']	['Object1', 'Object2', 'Object2']	['ps4', 'xbox', 'one']
162	['quora', 'Google', 'получения', 'ответов']	['Object1', 'Object2', 'Aspect', 'Aspect']	['quora', 'Google', 'получен', 'ответ']
163	['карьерного', 'роста', 'oracle', 'dba', 'sql', 'dba']	['Aspect', 'Aspect', 'Object1', 'Object1', 'Object2', 'Object2']	['карьерн', 'рост', 'oracle', 'dba', 'sql', 'dba']
165	['выпечке', 'газовую', 'электрическую', 'духовку']	['Aspect', 'Object1', 'Object2', 'CommonObj']	['выпечк', 'газов', 'электрическ', 'духовк']
166	['программист', 'macbook', 'ноутбук', 'с', 'Windows']	['Aspect', 'Object1', 'Object2', 'Object2', 'Object2']	['программист', 'macbook', 'ноутбук', 'с', 'Windows']
172	['Болливуд', 'Колливуд']	['Object1', 'Object2']	['болливуд', 'колливуд']
173	['экологично', 'гибрид', 'дизель']	['Aspect', 'Object1', 'Object2']	['экологичн', 'гибрид', 'дизел']
175	['президентские', 'выборы', 'в', 'США', 'президентскими', 'выборами', 'в', 'Мексике']	['Object1', 'Object1', 'Object1', 'Object1', 'Object2', 'Object2', 'Object2', 'Object2']	['президентск', 'выбор', 'в', 'сша', 'президентск', 'выбор', 'в', 'мексик']
176	['юридический', 'факультет', 'БГУ', 'университет', 'Османии']	['CommonObj', 'CommonObj', 'Object1', 'Object2', 'Object2']	['юридическ', 'факультет', 'бгу', 'университет', 'османи']
179	['usb', 'fat32', 'ntfs']	['Aspect', 'Object1', 'Object2']	['usb', 'fat32', 'ntfs']
180	['доверенного', 'хранилища', 'лицензированием', 'сертификатов']	['Object1', 'Object1', 'Object2', 'Object2']	['доверен', 'хранилищ', 'лицензирован', 'сертификат']
183	['встречаться', 'моделью', 'художником']	['Aspect', 'Object1', 'Object2']	['встреча', 'модел', 'художник']
185	['Бали', 'Пхукет', 'развлечения']	['Object1', 'Object2', 'Aspect']	['бал', 'пхукет', 'развлечен']
186	['могущественный', 'джедай', 'Оби', 'Ван', 'Аникен']	['Aspect', 'Aspect', 'Object1', 'Object1', 'Object2']	['могуществен', 'джеда', 'оби', 'ван', 'аникен']
187	['метро', 'Мумбаи', 'монорельсовой', 'дорогой', 'Мумбаи']	['Object1', 'Object1', 'Object2', 'Object2', 'Object2']	['метро', 'мумбаи', 'монорельсов', 'дорог', 'мумбаи']
188	['быстрая', 'сортировка', 'сортировка', 'слиянием']	['Object1', 'Object1', 'Object2', 'Object2']	['быстр', 'сортировк', 'сортировк', 'слиян']
189	['наука', 'о', 'земле', 'наука', 'об', 'окружающей', 'среде']	['Object1', 'Object1', 'Object1', 'Object2', 'Object2', 'Object2', 'Object2']	['наук', 'о', 'земл', 'наук', 'об', 'окружа', 'сред']
190	['велосипед', 'Бангалоре', 'fz', 'v', '2', 'pulsar', '200ns']	['CommonObj', 'Aspect', 'Object1', 'Object1', 'Object1', 'Object2', 'Object2']	['велосипед', 'бангалор', 'fz', 'v', '2', 'pulsar', '200ns']
193	['программное', 'обеспечение', 'студента-механика', 'catia', 'autocad']	['CommonObj', 'CommonObj', 'Aspect', 'Object1', 'Object2']	['программн', 'обеспечен', 'студента-механик', 'catia', 'autocad']
194	['Xbox', 'PlayStation']	['Object1', 'Object2']	['Xbox', 'PlayStation']
195	['ноутбук', 'долговечнее', 'HP', 'Dell']	['CommonObj', 'Aspect', 'Object1', 'Object2']	['ноутбук', 'долговечн', 'HP', 'Dell']
196	['независимость', 'от', 'платформы', 'нейтральность', 'архитектуры']	['Object1', 'Object1', 'Object1', 'Object2', 'Object2']	['независим', 'от', 'платформ', 'нейтральн', 'архитектур']
203	['бронза', 'медного', 'металла', 'изготовления', 'статуй']	['Object1', 'Object2', 'Object2', 'Aspect', 'Aspect']	['бронз', 'медн', 'металл', 'изготовлен', 'стат']
205	['больше', 'США', 'Китай']	['Aspect', 'Object1', 'Object2']	['больш', 'сша', 'кита']
206	['сложнее', 'лыжи', 'сноуборд']	['Aspect', 'Object1', 'Object2']	['сложн', 'лыж', 'сноуборд']
208	['eurail', 'pass', 'покупка', 'пропуска', 'на', 'месте']	['Object1', 'Object1', 'Object2', 'Object2', 'Object2', 'Object2']	['eurail', 'pass', 'покупк', 'пропуск', 'на', 'мест']
209	['mkcg', 'в', 'Берхампуре', 'kgmc', 'в', 'Манипале']	['Object1', 'Object1', 'Object1', 'Object2', 'Object2', 'Object2']	['mkcg', 'в', 'берхампур', 'kgmc', 'в', 'манипал']
212	['новую', 'подержанную', 'понтонную', 'лодку', 'полноценного', 'отдыха', 'на', 'озере']	['Object1', 'Object2', 'CommonObj', 'CommonObj', 'Aspect', 'Aspect', 'Aspect', 'Aspect']	['нов', 'подержа', 'понтон', 'лодк', 'полноцен', 'отдых', 'на', 'озер']
213	['gate', 'сложно', 'jee']	['Object1', 'Aspect', 'Object2']	['gate', 'сложн', 'jee']
214	['жить', 'Химачале', 'Уттаракханде']	['Aspect', 'Object1', 'Object2']	['жить', 'химачал', 'уттаракханд']
215	['студенческой', 'нагрузке', 'колледжах', 'гуманитарных', 'наук', 'исследовательскими', 'университетами']	['Aspect', 'Aspect', 'Object1', 'Object1', 'Object1', 'Object2', 'Object2']	['студенческ', 'нагрузк', 'колледж', 'гуманитарн', 'наук', 'исследовательск', 'университет']
216	['резиновой', 'мульчи', 'древесной']	['Object1', 'CommonObj', 'Object2']	['резинов', 'мульч', 'древесн']
217	['tcs', 'qainfotech']	['Object1', 'Object2']	['tcs', 'qainfotech']
222	['сильнее', 'Халк', 'Супермен']	['Aspect', 'Object1', 'Object2']	['сильн', 'халк', 'суперм']
226	['Онлайн-курсы', 'очных', 'занятий']	['Object1', 'Object2', 'Object2']	['онлайн-курс', 'очн', 'занят']
227	['tampax', 'playtex']	['Object1', 'Object2']	['tampax', 'playtex']
228	['самолеты', 'Boeing', 'Airbus']	['CommonObj', 'Object1', 'Object2']	['самолет', 'Boeing', 'Airbus']
229	['зачатия', 'ЭКО', 'перевязка', 'маточных', 'труб']	['Aspect', 'Object1', 'Object2', 'Object2', 'Object2']	['зачат', 'эко', 'перевязк', 'маточн', 'труб']
234	['angularjs', 'angular', '2']	['Object1', 'Object2', 'Object2']	['angularjs', 'angular', '2']
235	['изучать', 'новые', 'предметы', 'самостоятельно', 'иметь', 'учителя']	['Object1', 'Object1', 'Object1', 'Object1', 'Object2', 'Object2']	['изуча', 'нов', 'предмет', 'самостоятельн', 'имет', 'учител']
239	['javascript', 'html', 'css']	['Object1', 'Object2', 'Object2']	['javascript', 'html', 'css']
240	['jsp', 'php']	['Object1', 'Object2']	['jsp', 'php']
243	['обучения', 'компьютерной', 'инженерии', 'uiuc', 'penn', 'state', 'cmu']	['Aspect', 'Aspect', 'Aspect', 'Object1', 'Object1', 'Object1', 'Object2']	['обучен', 'компьютерн', 'инженер', 'uiuc', 'penn', 'state', 'cmu']
244	['Trinet', 'algentis', 'поставщиком', 'кадровых', 'услуг', 'на', 'аутсорсинге']	['Object1', 'Object2', 'Aspect', 'Aspect', 'Aspect', 'Aspect', 'Aspect']	['Trinet', 'algentis', 'поставщик', 'кадров', 'услуг', 'на', 'аутсорсинг']
245	['браузер', 'Internet', 'Explorer', 'Firefox']	['CommonObj', 'Object1', 'Object1', 'Object2']	['браузер', 'Internet', 'Explorer', 'Firefox']
247	['Гриффины', 'Симпсоны']	['Object1', 'Object2']	['гриффин', 'симпсон']
248	['разработки', 'Java', 'eclipse', 'intellij', 'idea']	['Aspect', 'Object1', 'Object1', 'Object2', 'Object2']	['разработк', 'Java', 'eclipse', 'intellij', 'idea']
249	['технологии', 'Apple', 'Google']	['CommonObj', 'Object1', 'Object2']	['технолог', 'Apple', 'Google']
257	['тампоны', 'прокладки']	['Object1', 'Object2']	['тампон', 'прокладк']
258	['Первичное', 'публичное', 'размещение', 'акций', 'IPO', 'публичной', 'компании', 'частной']	['Aspect', 'Aspect', 'Aspect', 'Aspect', 'Aspect', 'Object1', 'Object1', 'Object2']	['первичн', 'публичн', 'размещен', 'акц', 'IPO', 'публичн', 'компан', 'частн']
259	['бинарные', 'деревья', 'хэш-таблиц', 'реальных', 'приложениях']	['Object1', 'Object1', 'Object2', 'Aspect', 'Aspect']	['бинарн', 'дерев', 'хэш-таблиц', 'реальн', 'приложен']
262	['изучения', 'США', 'Австралия']	['Aspect', 'Object1', 'Object2']	['изучен', 'сша', 'австрали']
263	['Disneyland', 'Disney', 'World']	['Object1', 'Object2', 'Object2']	['Disneyland', 'Disney', 'World']
266	['linux', 'Microsoft']	['Object1', 'Object2']	['linux', 'Microsoft']
268	['snapdragon', '625', 'snapdragon', '650']	['Object1', 'Object1', 'Object2', 'Object2']	['snapdragon', '625', 'snapdragon', '650']
269	['google', 'pixel', 'iphone', '7']	['Object1', 'Object1', 'Object2', 'Object2']	['google', 'pixel', 'iphone', '7']
271	['зарабатывают', 'официантки', 'hooters', 'обычными', 'официантами']	['Aspect', 'Object1', 'Object1', 'Object2', 'Object2']	['зарабатыва', 'официантк', 'hooters', 'обычн', 'официант']
272	['hp', 'pavilion', '15', 'au111tx', 'au006tx']	['CommonObj', 'CommonObj', 'CommonObj', 'Object1', 'Object2']	['hp', 'pavilion', '15', 'au111tx', 'au006tx']
275	['блендера', 'контейнер', 'квадратный', 'круглый']	['Aspect', 'CommonObj', 'Object1', 'Object2']	['блендер', 'контейнер', 'квадратн', 'кругл']
276	['первым', 'программное', 'обеспечение', 'аппаратное', 'обеспечение']	['Aspect', 'Object1', 'Object1', 'Object2', 'Object2']	['перв', 'программн', 'обеспечен', 'аппаратн', 'обеспечен']
